Project,QM_ACTIVITY,QM_ANA,QM_CHA,QM_DIVERSITY,QM_ECOSYSTEM,QM_FEEDBACK,QM_ITS,QM_PLAN,QM_PROCESS,QM_PRODUCT,QM_QUALITY,QM_REL,QM_RESPONSIVENESS,QM_REU,QM_SCM,QM_SUPPORT,QM_TST,QM_USAGE
modeling.emfcompare,3.2,4.1,4.1,3.3,2.8,2.0,4.2,4.5,4.5,4.0,3.8,4.0,4.5,4.0,4.5,1.8,4.7,2.0
modeling.gendoc,1.0,4.1,4.6,1.0,2.0,,3.0,3.5,2.8,4.3,3.0,4.7,5.0,3.8,3.0,1.0,1.5,
modeling.papyrus,,3.0,3.0,,,,,,,3.0,3.0,3.0,,3.0,,,,
modeling.sirius,4.8,3.0,3.0,4.0,3.1,1.0,4.5,2.0,3.8,3.0,3.3,2.9,3.0,3.0,4.8,4.0,,2.0
polarsys.capella,4.0,3.0,3.0,4.0,4.0,,4.2,3.5,4.1,3.1,3.7,3.4,,3.0,4.5,,,
polarsys.kitalpha,1.0,3.0,3.0,1.0,1.0,,3.8,1.5,2.8,3.3,2.4,4.2,,3.0,3.0,,,
polarsys.reqcycle,1.0,3.0,3.0,1.0,1.0,,3.0,1.0,2.3,3.3,2.2,4.3,,3.0,3.0,,,
polarsys.tracecompass,2.7,3.5,4.1,3.0,3.0,,4.0,,4.2,3.8,3.7,3.6,4.5,4.2,4.0,1.8,4.7,
technology.ease,3.3,4.0,4.6,3.0,3.5,,4.2,2.0,3.4,3.9,3.6,4.1,4.5,3.0,4.2,3.0,3.0,
tools.cdt,4.3,2.0,2.8,4.7,3.7,2.0,4.5,3.0,4.0,2.5,3.4,2.3,3.0,2.8,4.5,4.0,4.0,4.0
tools.cdt.tcf,3.0,3.0,3.0,3.0,3.0,,4.2,2.5,3.7,3.1,3.3,3.4,4.0,3.0,4.5,2.2,,
